title,artist,album,year,genre,label,file_path,tempo,timbre
A Couple More Years,Ramadanman,Ramadanman EP,2010-04-05,,Hessle Audio,/mnt/d/MIR_music/Hessle/Ramadanman - (2010-04-05) Ramadanman EP [HES012] [MP3 320 44]/04 - A Couple More Years.mp3,135.99917763157896,"-194.85289,51.87991,15.016412,17.498245,3.165954,8.751662,-3.177976,7.3573933,2.918023,3.950964,4.706282,3.1380641,2.9332278,4.7082124,5.768347,7.9793735,-3.5340104,3.4168968,2.3860955,4.5082946"
Bleeper,Ramadanman,Ramadanman EP,2010-04-05,,Hessle Audio,/mnt/d/MIR_music/Hessle/Ramadanman - (2010-04-05) Ramadanman EP [HES012] [MP3 320 44]/05 - Bleeper.mp3,92.28515625,"-235.79015,78.63282,-8.911287,20.361717,6.658073,8.593792,4.507676,5.6038046,3.31961,4.1692514,1.1397736,3.855398,1.1305708,3.6147199,-0.11520877,2.2782435,0.55451494,2.5335557,1.6037811,2.7179916"
Don't Change for Me,Ramadanman,Ramadanman EP,2010-04-05,,Hessle Audio,/mnt/d/MIR_music/Hessle/Ramadanman - (2010-04-05) Ramadanman EP [HES012] [MP3 320 44]/06 - Don't Change for Me.mp3,92.28515625,"-124.29709,58.217308,6.0163755,15.313716,-4.684773,1.4279401,-1.1978811,0.3564108,-6.8938575,1.029764,-7.654112,1.7975647,-9.81397,-0.27573615,-8.559725,1.2360376,-3.8681748,1.671029,-4.5445895,2.0361943"
Cutie,Shanti Celeste,Cutie / Shimmer,2022-10-14,,Hessle Audio,/mnt/d/MIR_music/Hessle/Shanti Celeste - Cutie  Shimmer [HES041]/01_Cutie.mp3,143.5546875,"-162.95529,87.55966,20.936102,18.608767,7.0646267,16.379145,12.808643,11.419434,5.165205,8.125466,-1.5194819,4.366359,0.99588215,3.5648775,-0.6943048,1.5237335,1.0972972,5.0736456,3.6697357,4.347575"
Shimmer,Shanti Celeste,Cutie / Shimmer,2022-10-14,,Hessle Audio,/mnt/d/MIR_music/Hessle/Shanti Celeste - Cutie  Shimmer [HES041]/02_Shimmer.mp3,135.99917763157896,"-136.15105,65.25252,23.932114,26.208155,11.194671,18.99938,4.232395,8.986162,4.6807585,7.8536544,1.8371822,1.7373937,-1.0322222,6.4845257,-2.0067894,3.1197183,0.8705244,4.198668,-1.7612448,0.21932521"
Shimmer (Central Remix),Shanti Celeste,Cutie / Shimmer,2022-10-14,,Hessle Audio,/mnt/d/MIR_music/Hessle/Shanti Celeste - Cutie  Shimmer [HES041]/03_Shimmer (Central Remix).mp3,66.25600961538461,"-64.77453,66.15667,9.912725,16.70204,6.8951583,16.631374,3.8607874,8.788546,0.7531602,7.970017,-1.5602115,-0.4464709,-0.41074172,5.2059975,1.6496468,4.9496894,1.3369044,1.3908802,-3.2738702,0.9872534"
Cutie (Edit),Shanti Celeste,Cutie / Shimmer,2022-10-14,,Hessle Audio,/mnt/d/MIR_music/Hessle/Shanti Celeste - Cutie  Shimmer [HES041]/04_Cutie (Edit).mp3,143.5546875,"-159.98076,89.512794,17.487795,14.284268,3.6568778,15.2894335,12.704132,11.361306,5.2967644,8.056679,-2.0883336,3.5822144,0.51609373,3.194821,-0.8882537,1.0545098,0.3605399,5.1446433,4.524686,4.2803206"
Red Cotton,Shelley Parker,Red Cotton,2018,,Hessle Audio,/mnt/d/MIR_music/Hessle/Shelley Parker - Red Cotton (2018) [HES035]/01 Red Cotton.mp3,69.83741554054055,"-113.94693,63.23826,19.96198,21.566914,18.652132,15.018114,8.673295,18.54984,7.3325768,11.972126,3.8851147,11.202314,2.3088753,3.2647502,4.5817175,6.655102,0.43967268,3.2961383,1.7887819,2.496825"
Angel Oak,Shelley Parker,Red Cotton,2018,,Hessle Audio,/mnt/d/MIR_music/Hessle/Shelley Parker - Red Cotton (2018) [HES035]/02 Angel Oak.mp3,135.99917763157896,"-120.3754,58.804577,21.320137,14.926052,0.96205,17.926931,-0.68231976,13.870844,5.1066546,12.621032,4.2090063,5.023462,1.6831456,7.355775,1.8805546,4.9477057,0.20319559,5.2395525,0.82695246,1.5398178"
Angel Oak (Ploy Remix),Shelley Parker,Red Cotton,2018,,Hessle Audio,/mnt/d/MIR_music/Hessle/Shelley Parker - Red Cotton (2018) [HES035]/03 Angel Oak (Ploy Remix).mp3,129.19921875,"-104.77472,61.397194,5.9647355,2.032666,22.18069,11.120056,8.474065,17.18504,4.155061,13.363636,6.2837625,6.704882,4.2741942,10.8528595,5.7792525,7.3081417,1.631827,7.8083324,1.804874,5.622131"
Masonry Pier,Shelley Parker,Red Cotton,2018,,Hessle Audio,/mnt/d/MIR_music/Hessle/Shelley Parker - Red Cotton (2018) [HES035]/04 Masonry Pier.mp3,64.599609375,"-127.92481,65.9567,8.04748,7.967948,5.619871,14.173225,6.907047,12.958934,1.109032,8.494152,-1.3060668,5.83561,-0.7188009,4.973774,-3.135052,5.2331147,-3.8280535,2.806576,-4.276973,0.90170836"
