,title,artist,album,year,genre,label,file_path,tempo,timbre,genres,styles
43,System Addict,Alan Fitzpatrick,System Addict EP,2018,,Unknown to the Unknown,/mnt/d/UTTU/Alan Fitzpatrick/Alan Fitzpatrick - System Addict EP - 01 System Addict.mp3,123.046875,"-118.9949,91.09116,8.389868,17.03998,3.7965841,12.678414,3.7971423,0.36884046,-0.64784735,7.287622,0.31500956,4.1110826,0.55293685,1.1409109,1.5585177,3.4571273,-1.3437341,5.572987,2.8905284,4.1284175",Electronic,"Techno, Tech House"
44,Hold The Ripper,Alan Fitzpatrick,System Addict EP,2018,,Unknown to the Unknown,/mnt/d/UTTU/Alan Fitzpatrick/Alan Fitzpatrick - System Addict EP - 02 Hold The Ripper.mp3,123.046875,"-89.20649,84.310036,28.974459,27.996586,12.728141,19.321589,-2.4740865,7.3756485,0.33018565,6.5731454,-1.9698783,0.95392364,-1.1966743,2.5859847,1.2478225,4.0015006,-3.2779422,4.0496206,-0.45360833,6.0389605",Electronic,"Techno, Tech House"
45,In Excess,Alan Fitzpatrick,System Addict EP,2018,,Unknown to the Unknown,/mnt/d/UTTU/Alan Fitzpatrick/Alan Fitzpatrick - System Addict EP - 03 In Excess.mp3,123.046875,"-97.90107,65.29341,5.200229,22.496609,-6.258032,13.082186,1.3771089,11.849723,0.05786392,8.066305,5.415494,8.749509,2.6693754,5.0425787,-0.36717367,3.4087958,-2.3018463,6.009451,2.0954692,-0.2592063",Electronic,"Techno, Tech House"
46,In Excess (Falcon Black Ops Remix),Alan Fitzpatrick,System Addict EP,2018,,Unknown to the Unknown,/mnt/d/UTTU/Alan Fitzpatrick/Alan Fitzpatrick - System Addict EP - 04 In Excess (Falcon Black Ops Remix).mp3,129.19921875,"-45.966125,70.752075,6.142272,19.032215,2.7434077,15.869928,4.777199,13.43997,3.7540343,8.846201,2.4826946,7.873527,0.18304077,4.6851096,2.637584,4.086848,-1.719169,4.7412066,0.7932771,5.520278",Electronic,"Techno, Tech House"
47,RAW (Digital Only Exclusive),Alan Fitzpatrick,System Addict EP,2018,,Unknown to the Unknown,/mnt/d/UTTU/Alan Fitzpatrick/Alan Fitzpatrick - System Addict EP - 05 RAW (Digital Only Exclusive).mp3,123.046875,"-155.0691,71.70513,41.107727,11.913658,15.860389,21.148062,2.9647064,11.654644,1.7206537,10.413488,6.174926,9.394532,6.7746916,6.2252145,0.57820123,2.3157191,0.61403185,1.2429389,0.016338201,0.8273982",Electronic,"Techno, Tech House"
48,The Hole,Alan Fitzpatrick,The Hole EP,2020-03-06,,Unknown to the Unknown,/mnt/d/UTTU/Alan Fitzpatrick/Alan Fitzpatrick - The Hole EP - 01 The Hole.mp3,129.19921875,"-112.20715,92.61926,34.564182,14.283795,1.1448902,15.055298,2.2237875,6.61892,-0.37062952,9.661294,4.090311,11.1293745,6.561396,5.8813577,6.6438003,10.252592,-1.2263306,1.5296224,-0.049528945,-0.19390444",Search Failed,Search Failed
49,Raid,Alan Fitzpatrick,The Hole EP,2020-03-06,,Unknown to the Unknown,/mnt/d/UTTU/Alan Fitzpatrick/Alan Fitzpatrick - The Hole EP - 02 Raid.mp3,129.19921875,"-77.694885,86.78973,19.759394,37.71334,5.1009674,24.516169,5.287443,9.592905,0.4530136,7.3326745,0.6393392,4.049237,-0.15730192,1.1136009,-3.7087195,5.575812,0.2781523,-1.2160418,-5.6391206,-1.5062597",Search Failed,Search Failed
50,KD6-3,Alan Fitzpatrick,The Hole EP,2020-03-06,,Unknown to the Unknown,/mnt/d/UTTU/Alan Fitzpatrick/Alan Fitzpatrick - The Hole EP - 03 KD6-3.mp3,129.19921875,"-148.15973,95.67104,51.774693,24.1482,18.949417,28.360945,4.257204,16.035723,5.739894,8.1209755,3.5035436,3.6504934,7.378848,4.0093985,4.850896,9.289398,5.415848,11.670052,0.6639727,3.4062736",Search Failed,Search Failed
51,Awkward Desire,Alan Fitzpatrick,The Hole EP,2020-03-06,,Unknown to the Unknown,/mnt/d/UTTU/Alan Fitzpatrick/Alan Fitzpatrick - The Hole EP - 04 Awkward Desire.mp3,123.046875,"-120.22114,88.257484,-12.527781,14.9022875,1.0901535,11.008231,-4.56248,0.27311996,-3.062423,4.380524,-0.98722935,4.812656,0.38981247,3.96972,3.5168655,9.102639,2.8015113,3.3975992,1.4145172,3.7065117",Search Failed,Search Failed
52,Cybernetik Memory,Alex Jann,Cybernetik Memory,2020,,Unknown to the Unknown,/mnt/d/UTTU/Alex Jann/Alex Jann - Cybernetik Memory - 01 Cybernetik Memory.mp3,143.5546875,"-35.896965,56.718002,26.781181,18.6074,8.092296,14.031027,-2.9331868,16.43727,-3.5977364,12.310528,-3.171754,7.309102,1.8944515,4.920525,1.4329469,5.063547,-0.9587935,4.026542,-3.0468175,5.89906",Electronic,"Electro, Techno"
